Date,Adj Close,SMA 10,SMA 25,SMA 100,WMA10,EMA10
2016-07-11,647.6589965820312,664.9050048828125,671.7410424804688,531.2335372924805,657.795,658.424
2016-07-12,664.551025390625,660.9899047851562,668.3667236328125,533.6700076293945,657.731,659.538
2016-07-13,654.468017578125,660.5703063964844,664.2963647460938,536.0002478027344,656.545,658.616
2016-07-14,658.0780029296875,658.0119079589844,660.0682446289062,538.3407278442382,656.092,658.518
2016-07-15,663.2550048828125,657.27470703125,657.109404296875,540.7391479492187,657.045,659.38
2016-07-16,660.7670288085938,655.618310546875,656.8740063476563,543.1193682861328,657.68,659.632
2016-07-17,679.458984375,659.5080078125,660.207724609375,545.7104681396485,662.015,663.237
2016-07-18,673.1060180664062,660.16630859375,662.1728857421875,548.2474182128906,664.487,665.031
2016-07-19,672.864013671875,662.3567077636719,662.4754858398437,550.7604183959961,666.796,666.455
2016-07-20,665.6849975585938,663.989208984375,662.4979663085937,553.1924383544922,667.401,666.315
2016-07-21,665.0120239257812,665.72451171875,663.9237670898438,555.5906585693359,667.587,666.078
2016-07-22,650.6190185546875,664.3313110351562,663.7375268554688,557.8595086669922,664.84,663.268
2016-07-23,655.5560302734375,664.4401123046875,664.0797290039062,560.172248840332,663.245,661.865
2016-07-24,661.2849731445312,664.7608093261719,664.93552734375,562.4879684448242,662.671,661.76
2016-07-25,654.0969848632812,663.8450073242187,664.165927734375,564.7232183837891,660.732,660.367
2016-07-26,651.7839965820312,662.9467041015625,663.1854467773437,566.9670684814453,658.539,658.806
2016-07-27,654.3519897460938,660.4360046386719,661.2114453125,569.2246783447266,656.977,657.996
2016-07-28,655.0349731445312,658.6289001464844,661.0662841796875,571.4199380493164,655.995,657.458
2016-07-29,656.9920043945312,657.04169921875,659.9994848632813,573.5759680175781,655.697,657.373
2016-07-30,655.0469970703125,655.9778991699219,659.3762841796874,575.6321881103515,655.334,656.95
2016-07-31,624.6810302734375,651.9447998046875,657.2702856445312,577.4216284179688,649.644,651.083
2016-08-01,606.27197265625,647.5100952148438,655.8986840820312,578.9815280151367,641.34,642.936
2016-08-02,547.4650268554689,636.7009948730469,651.1363647460937,579.8706283569336,623.15,625.577
2016-08-03,566.35498046875,627.2079956054688,647.7521630859375,580.9199182128906,610.36,614.81
2016-08-04,578.2890014648438,619.627197265625,644.9093237304687,582.0419183349609,601.465,608.17
2016-08-05,575.0430297851562,611.9531005859375,642.0046850585937,583.345478515625,593.359,602.147
2016-08-06,587.7780151367188,605.295703125,638.9337646484375,584.733148803711,588.964,599.534
2016-08-07,592.6900024414062,599.0612060546875,636.4626440429688,586.1090789794922,586.672,598.29
2016-08-08,591.0540161132812,592.4674072265625,633.7816845703124,587.5364392089843,585.216,596.974
2016-08-09,587.801025390625,585.7428100585937,630.763525390625,588.8956994628907,584.367,595.306
2016-08-10,592.10302734375,582.485009765625,628.0169653320313,590.3700396728516,585.524,594.724
2016-08-11,589.1199951171875,580.7698120117187,624.4034057617188,591.7581997680664,586.73,593.705
2016-08-12,587.5590209960938,584.7792114257812,620.9815258789063,593.1665701293946,587.965,592.588
2016-08-13,585.5880126953125,586.7025146484375,617.4904858398437,594.5426901245118,588.112,591.315
2016-08-14,570.4730224609375,585.9209167480469,613.6820068359375,595.6513903808594,585.161,587.525
2016-08-15,567.239990234375,585.1406127929688,609.7711254882812,596.7384301757812,581.764,583.837
2016-08-16,577.4390258789062,584.1067138671875,606.84392578125,597.9273403930664,580.364,582.674
2016-08-17,573.2160034179688,582.1593139648437,603.5503247070312,599.0546704101563,578.384,580.954
2016-08-18,574.3179931640625,580.4857116699219,600.0716455078125,600.2889004516602,576.958,579.748
2016-08-19,575.6300048828125,579.2686096191406,596.9329663085938,601.5179205322265,576.075,578.999
2016-08-20,581.697021484375,578.2280090332031,594.1294873046875,602.787230834961,576.517,579.49
2016-08-21,581.3079833984375,577.4468078613281,591.2077270507813,604.043610534668,577.077,579.82
2016-08-22,586.7529907226562,577.3662048339844,588.4764477539062,605.3544305419922,578.769,581.081
2016-08-23,583.4149780273438,577.1489013671875,585.5333666992187,606.612900390625,579.869,581.505
2016-08-24,580.1820068359375,578.1197998046875,582.5387670898438,607.8730905151367,580.42,581.265
2016-08-25,577.760986328125,579.1718994140625,580.6619653320313,609.1128704833984,580.355,580.628
2016-08-26,579.6510009765625,579.3930969238281,579.5971264648438,610.363190612793,580.442,580.45
2016-08-27,569.947021484375,579.0661987304687,580.49640625,611.6755108642578,578.724,578.54
2016-08-28,573.9119873046875,579.0255981445313,580.7986865234375,612.9878707885742,577.787,577.699
2016-08-29,574.1069946289062,578.8732971191406,580.63140625,614.2970608520508,576.893,577.046
2016-08-30,577.5029907226562,578.4538940429687,580.7298046875,615.6788607788086,576.644,577.129
